,words,roots,s1,s2,s3,sequence,t1,t2,t3,rand
441,winnipement,winnipem,ent,,,AV_NA_AN,AV,,,0.945218471
225,winnipemize,winnipem,ize,,,VN_AV_NA,VN,,,0.161256211
344,bramictudeize,bram,ic,tude,ize,AN_NA_VN,AN,NA,VN,0.025502423
265,sabamizeure,sabam,ize,ure,,VN_NV_AN,VN,NV,,0.72655982
168,winnipemtude,winnipem,tude,,,NA_NN_AN,NA,,,0.589296062
355,sabamaltude,sabam,al,tude,,AN_NA_VN,AN,NA,,0.097241907
403,sabamenttude,sabam,ent,tude,,AV_NA_NN,AV,NA,,0.929320488
492,winnipemage,winnipem,age,,,NV_NN_VN,NV,,,0.527713626
223,sabamizeent,sabam,ize,ent,,VN_AV_NA,VN,AV,,0.231386192
365,bramictudeful,bram,ic,tude,ful,AN_NA_AN,AN,NA,AN,0.831840445
216,winnipemtude,winnipem,tude,,,NA_AN_NA,NA,,,0.78956369
625,sabamureic,sabam,ure,ic,,NV_AN_NA,NV,AN,,0.450641606
190,sabamenceize,sabam,ence,ize,,NA_VN_NV,NA,VN,,0.055030727
107,bramenceryize,bram,ence,ry,ize,NA_NN_VN,NA,NN,VN,0.652203592
58,sabamistal,sabam,ist,al,,NN_AN_NA,NN,AN,,0.861873327
22,sabamistize,sabam,ist,ize,,NN_VN_NV,NN,VN,,0.135182792
222,winnipemize,winnipem,ize,,,VN_AV_NA,VN,,,0.701917279
29,bramadeizeure,bram,ade,ize,ure,NN_VN_NV,NN,VN,NV,0.951158116
644,bramageictude,bram,age,ic,tude,NV_AN_NA,NV,AN,NA,0.094809431
102,winnipemence,winnipem,ence,,,NA_NN_VN,NA,,,0.032377523
50,bramistictude,bram,ist,ic,tude,NN_AN_NA,NN,AN,NA,0.359461987
261,winnipemize,winnipem,ize,,,VN_NV_AN,VN,,,0.952704232
383,bramalenceic,bram,al,ence,ic,AN_NA_AN,AN,NA,AN,0.777261606
35,bramadeizeor,bram,ade,ize,or,NN_VN_NV,NN,VN,NV,0.329787817
31,sabamadeize,sabam,ade,ize,,NN_VN_NV,NN,VN,,0.920414114
466,sabamiteence,sabam,ite,ence,,AV_NA_AN,AV,NA,,0.917878632
45,winnipemist,winnipem,ist,,,NN_AN_NA,NN,,,0.042459731
143,bramenceryal,bram,ence,ry,al,NA_NN_AN,NA,NN,AN,0.077236635
397,sabamentence,sabam,ent,ence,,AV_NA_NN,AV,NA,,0.697990764
134,bramenceadeal,bram,ence,ade,al,NA_NN_AN,NA,NN,AN,0.76012599
287,bramicenceist,bram,ic,ence,ist,AN_NA_NN,AN,NA,NN,0.11560341
597,winnipemor,winnipem,or,,,NV_VN_AV,NV,,,0.415873151
125,bramenceistal,bram,ence,ist,al,NA_NN_AN,NA,NN,AN,0.505786111
133,sabamenceade,sabam,ence,ade,,NA_NN_AN,NA,NN,,0.14647496
477,winnipemure,winnipem,ure,,,NV_NN_VN,NV,,,0.900375365
605,bramureizeage,bram,ure,ize,age,NV_VN_NV,NV,VN,NV,0.308248212
254,bramizeorade,bram,ize,or,ade,VN_NV_NN,VN,NV,NN,0.34190588
128,bramenceadeic,bram,ence,ade,ic,NA_NN_AN,NA,NN,AN,0.733029829
458,bramenttudeal,bram,ent,tude,al,AV_NA_AN,AV,NA,AN,0.738546056
351,winnipemal,winnipem,al,,,AN_NA_VN,AN,,,0.836418552
182,bramtudeizeite,bram,tude,ize,ite,NA_VN_AV,NA,VN,AV,0.180699675
415,sabamiteence,sabam,ite,ence,,AV_NA_NN,AV,NA,,0.277404608
648,winnipemage,winnipem,age,,,NV_AN_NA,NV,,,0.955607471
232,sabamizeure,sabam,ize,ure,,VN_NV_NN,VN,NV,,0.771869355
534,winnipemage,winnipem,age,,,NV_NN_AN,NV,,,0.797210104
354,winnipemal,winnipem,al,,,AN_NA_VN,AN,,,0.910168031
206,bramencefultude,bram,ence,ful,tude,NA_AN_NA,NA,AN,NA,0.01288231
377,bramfultudeic,bram,ful,tude,ic,AN_NA_AN,AN,NA,AN,0.810827525
567,winnipemor,winnipem,or,,,NV_NN_AN,NV,,,0.691761801
210,winnipemtude,winnipem,tude,,,NA_AN_NA,NA,,,0.216812414
588,winnipemure,winnipem,ure,,,NV_VN_AV,NV,,,0.798658223
7,sabamadeize,sabam,ade,ize,,NN_VN_AV,NN,VN,,0.850569445
366,winnipemic,winnipem,ic,,,AN_NA_AN,AN,,,0.546037918
438,winnipemite,winnipem,ite,,,AV_NA_VN,AV,,,0.803486629
16,sabamryize,sabam,ry,ize,,NN_VN_AV,NN,VN,,0.560135099
217,sabamtudeal,sabam,tude,al,,NA_AN_NA,NA,AN,,0.295890814
302,bramictudery,bram,ic,tude,ry,AN_NA_NN,AN,NA,NN,0.149380961
191,bramenceizeor,bram,ence,ize,or,NA_VN_NV,NA,VN,NV,0.346034993
43,sabamryize,sabam,ry,ize,,NN_VN_NV,NN,VN,,0.159509128
533,bramageistic,bram,age,ist,ic,NV_NN_AN,NV,NN,AN,0.104454305
580,sabamorry,sabam,or,ry,,NV_NN_AN,NV,NN,,0.325301977
592,sabamageize,sabam,age,ize,,NV_VN_AV,NV,VN,,0.746427294
439,sabamitetude,sabam,ite,tude,,AV_NA_VN,AV,NA,,0.219913108
116,bramtuderyize,bram,tude,ry,ize,NA_NN_VN,NA,NN,VN,0.682784906
298,sabamictude,sabam,ic,tude,,AN_NA_NN,AN,NA,,0.961734033
239,bramizeurery,bram,ize,ure,ry,VN_NV_NN,VN,NV,NN,0.747687983
668,bramorfultude,bram,or,ful,tude,NV_AN_NA,NV,AN,NA,0.563757332
212,bramtudeicence,bram,tude,ic,ence,NA_AN_NA,NA,AN,NA,0.483242079
183,winnipemence,winnipem,ence,,,NA_VN_NV,NA,,,0.73085038
407,bramenttudeade,bram,ent,tude,ade,AV_NA_NN,AV,NA,NN,0.340257818
306,winnipemful,winnipem,ful,,,AN_NA_NN,AN,,,0.709463216
658,sabamoric,sabam,or,ic,,NV_AN_NA,NV,AN,,0.463398944
370,sabamfulence,sabam,ful,ence,,AN_NA_AN,AN,NA,,0.594889932
394,sabamentence,sabam,ent,ence,,AV_NA_NN,AV,NA,,0.339006856
352,sabamalence,sabam,al,ence,,AN_NA_VN,AN,NA,,0.941954911
188,bramenceizeage,bram,ence,ize,age,NA_VN_NV,NA,VN,NV,0.321710555
18,winnipemist,winnipem,ist,,,NN_VN_NV,NN,,,0.103975692
523,sabamurery,sabam,ure,ry,,NV_NN_AN,NV,NN,,0.807103058
455,bramenttudeful,bram,ent,tude,ful,AV_NA_AN,AV,NA,AN,0.77626554
241,sabamizeage,sabam,ize,age,,VN_NV_NN,VN,NV,,0.204665803
167,bramtuderyful,bram,tude,ry,ful,NA_NN_AN,NA,NN,AN,0.818892676
247,sabamizeage,sabam,ize,age,,VN_NV_NN,VN,NV,,0.755011384
323,bramalenceist,bram,al,ence,ist,AN_NA_NN,AN,NA,NN,0.039581046
85,sabamryic,sabam,ry,ic,,NN_AN_NA,NN,AN,,0.41556442
573,winnipemor,winnipem,or,,,NV_NN_AN,NV,,,0.852464266
408,winnipement,winnipem,ent,,,AV_NA_NN,AV,,,0.217917054
115,sabamtudery,sabam,tude,ry,,NA_NN_VN,NA,NN,,0.938868843
36,winnipemry,winnipem,ry,,,NN_VN_NV,NN,,,0.216521085
371,bramfulenceic,bram,ful,ence,ic,AN_NA_AN,AN,NA,AN,0.059422113
281,bramizeorful,bram,ize,or,ful,VN_NV_AN,VN,NV,AN,0.460420365
30,winnipemade,winnipem,ade,,,NN_VN_NV,NN,,,0.338761931
638,bramurealtude,bram,ure,al,tude,NV_AN_NA,NV,AN,NA,0.313340603
452,bramenttudeic,bram,ent,tude,ic,AV_NA_AN,AV,NA,AN,0.185777679
308,bramfulenceade,bram,ful,ence,ade,AN_NA_NN,AN,NA,NN,0.753389015
524,bramureryic,bram,ure,ry,ic,NV_NN_AN,NV,NN,AN,0.057768013
422,bramitetudeist,bram,ite,tude,ist,AV_NA_NN,AV,NA,NN,0.675395396
507,winnipemure,winnipem,ure,,,NV_NN_AN,NV,,,0.346017352
522,winnipemure,winnipem,ure,,,NV_NN_AN,NV,,,0.860543236
157,sabamtudeade,sabam,tude,ade,,NA_NN_AN,NA,NN,,0.510150766
609,winnipemage,winnipem,age,,,NV_VN_NV,NV,,,0.672773747
332,bramaltudeist,bram,al,tude,ist,AN_NA_NN,AN,NA,NN,0.592160475
646,sabamageful,sabam,age,ful,,NV_AN_NA,NV,AN,,0.666964138
268,sabamizeage,sabam,ize,age,,VN_NV_AN,VN,NV,,0.581850322
568,sabamorade,sabam,or,ade,,NV_NN_AN,NV,NN,,0.398914869
398,bramentenceade,bram,ent,ence,ade,AV_NA_NN,AV,NA,NN,0.664870806
337,sabamaltude,sabam,al,tude,,AN_NA_NN,AN,NA,,0.053833895
390,winnipemal,winnipem,al,,,AN_NA_AN,AN,,,0.176958391
498,winnipemor,winnipem,or,,,NV_NN_VN,NV,,,0.985708606
283,sabamizeor,sabam,ize,or,,VN_NV_AN,VN,NV,,0.744921188
37,sabamryize,sabam,ry,ize,,NN_VN_NV,NN,VN,,0.035345916
386,bramalenceful,bram,al,ence,ful,AN_NA_AN,AN,NA,AN,0.751866212
184,sabamenceize,sabam,ence,ize,,NA_VN_NV,NA,VN,,0.39125379
75,winnipemade,winnipem,ade,,,NN_AN_NA,NN,,,0.351844128
497,bramoristize,bram,or,ist,ize,NV_NN_VN,NV,NN,VN,0.235038557
189,winnipemence,winnipem,ence,,,NA_VN_NV,NA,,,0.364601141
611,bramageizeure,bram,age,ize,ure,NV_VN_NV,NV,VN,NV,0.325368877
152,bramtudeistal,bram,tude,ist,al,NA_NN_AN,NA,NN,AN,0.527063111
56,bramistfultude,bram,ist,ful,tude,NN_AN_NA,NN,AN,NA,0.694969686
101,bramenceistize,bram,ence,ist,ize,NA_NN_VN,NA,NN,VN,0.505828921
485,bramureryize,bram,ure,ry,ize,NV_NN_VN,NV,NN,VN,0.057110312
491,bramageadeize,bram,age,ade,ize,NV_NN_VN,NV,NN,VN,0.975381798
419,bramiteencery,bram,ite,ence,ry,AV_NA_NN,AV,NA,NN,0.923672493
486,winnipemage,winnipem,age,,,NV_NN_VN,NV,,,0.534269952
350,bramfultudeize,bram,ful,tude,ize,AN_NA_VN,AN,NA,VN,0.409078058
63,winnipemade,winnipem,ade,,,NN_AN_NA,NN,,,0.35998832
26,bramistizeor,bram,ist,ize,or,NN_VN_NV,NN,VN,NV,0.52559599
271,sabamizeage,sabam,ize,age,,VN_NV_AN,VN,NV,,0.516706277
278,bramizeoric,bram,ize,or,ic,VN_NV_AN,VN,NV,AN,0.413572369
131,bramenceadeful,bram,ence,ade,ful,NA_NN_AN,NA,NN,AN,0.536906447
224,bramizeenttude,bram,ize,ent,tude,VN_AV_NA,VN,AV,NA,0.173228026
331,sabamaltude,sabam,al,tude,,AN_NA_NN,AN,NA,,0.297415219
643,sabamageic,sabam,age,ic,,NV_AN_NA,NV,AN,,0.20066283
277,sabamizeor,sabam,ize,or,,VN_NV_AN,VN,NV,,0.823865426
69,winnipemade,winnipem,ade,,,NN_AN_NA,NN,,,0.553656871
608,bramureizeor,bram,ure,ize,or,NV_VN_NV,NV,VN,NV,0.373645291
293,bramicencery,bram,ic,ence,ry,AN_NA_NN,AN,NA,NN,0.110529251
248,bramizeagery,bram,ize,age,ry,VN_NV_NN,VN,NV,NN,0.049437719
656,bramagealtude,bram,age,al,tude,NV_AN_NA,NV,AN,NA,0.082030015
171,winnipemence,winnipem,ence,,,NA_VN_AV,NA,,,0.425300164
61,sabamistal,sabam,ist,al,,NN_AN_NA,NN,AN,,0.614960415
468,winnipemite,winnipem,ite,,,AV_NA_AN,AV,,,0.217154427
165,winnipemtude,winnipem,tude,,,NA_NN_AN,NA,,,0.565135232
309,winnipemful,winnipem,ful,,,AN_NA_NN,AN,,,0.413910784
424,sabamitetude,sabam,ite,tude,,AV_NA_NN,AV,NA,,0.440580989
266,bramizeureal,bram,ize,ure,al,VN_NV_AN,VN,NV,AN,0.267122648
169,sabamtudery,sabam,tude,ry,,NA_NN_AN,NA,NN,,0.614774406
575,bramoradeal,bram,or,ade,al,NV_NN_AN,NV,NN,AN,0.914689434
44,bramryizeor,bram,ry,ize,or,NN_VN_NV,NN,VN,NV,0.617168258
375,winnipemful,winnipem,ful,,,AN_NA_AN,AN,,,0.687050417
227,bramizeiteence,bram,ize,ite,ence,VN_AV_NA,VN,AV,NA,0.782278114
529,sabamurery,sabam,ure,ry,,NV_NN_AN,NV,NN,,0.896625616
385,sabamalence,sabam,al,ence,,AN_NA_AN,AN,NA,,0.67418636
11,bramadeizeite,bram,ade,ize,ite,NN_VN_AV,NN,VN,AV,0.769488398
32,bramadeizeage,bram,ade,ize,age,NN_VN_NV,NN,VN,NV,0.094771198
462,winnipemite,winnipem,ite,,,AV_NA_AN,AV,,,0.881756155
106,sabamencery,sabam,ence,ry,,NA_NN_VN,NA,NN,,0.149921908
528,winnipemure,winnipem,ure,,,NV_NN_AN,NV,,,0.901168197
399,winnipement,winnipem,ent,,,AV_NA_NN,AV,,,0.182790482
141,winnipemence,winnipem,ence,,,NA_NN_AN,NA,,,0.871611462
565,sabamorist,sabam,or,ist,,NV_NN_AN,NV,NN,,0.599189679
416,bramiteenceade,bram,ite,ence,ade,AV_NA_NN,AV,NA,NN,0.871241352
273,winnipemize,winnipem,ize,,,VN_NV_AN,VN,,,0.465531296
123,winnipemence,winnipem,ence,,,NA_NN_AN,NA,,,0.323696212
250,sabamizeor,sabam,ize,or,,VN_NV_NN,VN,NV,,0.017387501
630,winnipemure,winnipem,ure,,,NV_AN_NA,NV,,,0.815494019
54,winnipemist,winnipem,ist,,,NN_AN_NA,NN,,,0.988273631
81,winnipemry,winnipem,ry,,,NN_AN_NA,NN,,,0.000121538
340,sabamicence,sabam,ic,ence,,AN_NA_VN,AN,NA,,0.081782897
55,sabamistful,sabam,ist,ful,,NN_AN_NA,NN,AN,,0.597721009
619,sabamorize,sabam,or,ize,,NV_VN_NV,NV,VN,,0.001266276
404,bramenttudeist,bram,ent,tude,ist,AV_NA_NN,AV,NA,NN,0.745601884
20,bramistizeure,bram,ist,ize,ure,NN_VN_NV,NN,VN,NV,0.680734622
514,sabamureade,sabam,ure,ade,,NV_NN_AN,NV,NN,,0.128659717
23,bramistizeage,bram,ist,ize,age,NN_VN_NV,NN,VN,NV,0.850743019
226,sabamizeite,sabam,ize,ite,,VN_AV_NA,VN,AV,,0.060981689
66,winnipemade,winnipem,ade,,,NN_AN_NA,NN,,,0.355032297
257,bramizeorry,bram,ize,or,ry,VN_NV_NN,VN,NV,NN,0.994823334
97,sabamryal,sabam,ry,al,,NN_AN_NA,NN,AN,,0.720360193
73,sabamadeful,sabam,ade,ful,,NN_AN_NA,NN,AN,,0.880835821
629,bramurefulence,bram,ure,ful,ence,NV_AN_NA,NV,AN,NA,0.555625816
288,winnipemic,winnipem,ic,,,AN_NA_NN,AN,,,0.050871666
83,bramryicence,bram,ry,ic,ence,NN_AN_NA,NN,AN,NA,0.572042131
127,sabamenceade,sabam,ence,ade,,NA_NN_AN,NA,NN,,0.444208338
204,winnipemence,winnipem,ence,,,NA_AN_NA,NA,,,0.757899269
156,winnipemtude,winnipem,tude,,,NA_NN_AN,NA,,,0.628475204
511,sabamureist,sabam,ure,ist,,NV_NN_AN,NV,NN,,0.160509667
549,winnipemage,winnipem,age,,,NV_NN_AN,NV,,,0.248625591
392,bramaltudeful,bram,al,tude,ful,AN_NA_AN,AN,NA,AN,0.764434406
162,winnipemtude,winnipem,tude,,,NA_NN_AN,NA,,,0.98750739
263,bramizeureful,bram,ize,ure,ful,VN_NV_AN,VN,NV,AN,0.257639948
583,sabamorry,sabam,or,ry,,NV_NN_AN,NV,NN,,0.594715508
151,sabamtudeist,sabam,tude,ist,,NA_NN_AN,NA,NN,,0.504327483
579,winnipemor,winnipem,or,,,NV_NN_AN,NV,,,0.39719716
179,bramtudeizeent,bram,tude,ize,ent,NA_VN_AV,NA,VN,AV,0.025916641
653,bramagealence,bram,age,al,ence,NV_AN_NA,NV,AN,NA,0.992518342
195,winnipemtude,winnipem,tude,,,NA_VN_NV,NA,,,0.435486658
180,winnipemtude,winnipem,tude,,,NA_VN_AV,NA,,,0.131050448
158,bramtudeadeful,bram,tude,ade,ful,NA_NN_AN,NA,NN,AN,0.078987164
504,winnipemure,winnipem,ure,,,NV_NN_AN,NV,,,0.764362504
149,bramtudeistful,bram,tude,ist,ful,NA_NN_AN,NA,NN,AN,0.783786109
312,winnipemful,winnipem,ful,,,AN_NA_NN,AN,,,0.427778461
484,sabamurery,sabam,ure,ry,,NV_NN_VN,NV,NN,,0.652530935
1,sabamistize,sabam,ist,ize,,NN_VN_AV,NN,VN,,0.124612137
25,sabamistize,sabam,ist,ize,,NN_VN_NV,NN,VN,,0.514110572
496,sabamorist,sabam,or,ist,,NV_NN_VN,NV,NN,,0.747515813
255,winnipemize,winnipem,ize,,,VN_NV_NN,VN,,,0.858974646
662,bramorictude,bram,or,ic,tude,NV_AN_NA,NV,AN,NA,0.552552389
175,sabamenceize,sabam,ence,ize,,NA_VN_AV,NA,VN,,0.285331933
65,bramadeicence,bram,ade,ic,ence,NN_AN_NA,NN,AN,NA,0.295201115
300,winnipemic,winnipem,ic,,,AN_NA_NN,AN,,,0.965567295
536,bramageistful,bram,age,ist,ful,NV_NN_AN,NV,NN,AN,0.884462578
633,winnipemure,winnipem,ure,,,NV_AN_NA,NV,,,0.854790615
505,sabamureist,sabam,ure,ist,,NV_NN_AN,NV,NN,,0.574890415
214,sabamtudeful,sabam,tude,ful,,NA_AN_NA,NA,AN,,0.64491503
317,bramfultudeade,bram,ful,tude,ade,AN_NA_NN,AN,NA,NN,0.831880581
136,sabamencery,sabam,ence,ry,,NA_NN_AN,NA,NN,,0.037868714
618,winnipemor,winnipem,or,,,NV_VN_NV,NV,,,0.220836015
564,winnipemor,winnipem,or,,,NV_NN_AN,NV,,,0.964433844
68,bramadeictude,bram,ade,ic,tude,NN_AN_NA,NN,AN,NA,0.569159963
660,winnipemor,winnipem,or,,,NV_AN_NA,NV,,,0.565012351
572,bramoradeful,bram,or,ade,ful,NV_NN_AN,NV,NN,AN,0.322237988
489,winnipemage,winnipem,age,,,NV_NN_VN,NV,,,0.764836851
421,sabamitetude,sabam,ite,tude,,AV_NA_NN,AV,NA,,0.411304194
593,bramageizeent,bram,age,ize,ent,NV_VN_AV,NV,VN,AV,0.438332369
321,winnipemal,winnipem,al,,,AN_NA_NN,AN,,,0.740417642
474,winnipemite,winnipem,ite,,,AV_NA_AN,AV,,,0.33573181
655,sabamageal,sabam,age,al,,NV_AN_NA,NV,AN,,0.559918845
406,sabamenttude,sabam,ent,tude,,AV_NA_NN,AV,NA,,0.617129026
596,bramageizeite,bram,age,ize,ite,NV_VN_AV,NV,VN,AV,0.281735228
335,bramaltudeade,bram,al,tude,ade,AN_NA_NN,AN,NA,NN,0.38161232
245,bramizeageade,bram,ize,age,ade,VN_NV_NN,VN,NV,NN,0.527182212
666,winnipemor,winnipem,or,,,NV_AN_NA,NV,,,0.885376512
401,bramentencery,bram,ent,ence,ry,AV_NA_NN,AV,NA,NN,0.289617423
369,winnipemful,winnipem,ful,,,AN_NA_AN,AN,,,0.802304877
645,winnipemage,winnipem,age,,,NV_AN_NA,NV,,,0.449735961
163,sabamtudery,sabam,tude,ry,,NA_NN_AN,NA,NN,,0.0816297
591,winnipemage,winnipem,age,,,NV_VN_AV,NV,,,0.495628876
388,sabamaltude,sabam,al,tude,,AN_NA_AN,AN,NA,,0.848511848
595,sabamageize,sabam,age,ize,,NV_VN_AV,NV,VN,,0.367814044
494,bramageryize,bram,age,ry,ize,NV_NN_VN,NV,NN,VN,0.715152065
510,winnipemure,winnipem,ure,,,NV_NN_AN,NV,,,0.01533061
53,bramistfulence,bram,ist,ful,ence,NN_AN_NA,NN,AN,NA,0.67039405
341,bramicenceize,bram,ic,ence,ize,AN_NA_VN,AN,NA,VN,0.169629162
13,sabamryize,sabam,ry,ize,,NN_VN_AV,NN,VN,,0.178088751
547,sabamageade,sabam,age,ade,,NV_NN_AN,NV,NN,,0.087489049
571,sabamorade,sabam,or,ade,,NV_NN_AN,NV,NN,,0.548612017
129,winnipemence,winnipem,ence,,,NA_NN_AN,NA,,,0.895720416
569,bramoradeic,bram,or,ade,ic,NV_NN_AN,NV,NN,AN,0.683185758
176,bramenceizeite,bram,ence,ize,ite,NA_VN_AV,NA,VN,AV,0.11975973
554,bramageryful,bram,age,ry,ful,NV_NN_AN,NV,NN,AN,0.083851293
544,sabamageade,sabam,age,ade,,NV_NN_AN,NV,NN,,0.607622964
463,sabamiteence,sabam,ite,ence,,AV_NA_AN,AV,NA,,0.86721591
94,sabamryal,sabam,ry,al,,NN_AN_NA,NN,AN,,0.414791686
654,winnipemage,winnipem,age,,,NV_AN_NA,NV,,,0.854928448
72,winnipemade,winnipem,ade,,,NN_AN_NA,NN,,,0.198147901
280,sabamizeor,sabam,ize,or,,VN_NV_AN,VN,NV,,0.865627685
197,bramtudeizeage,bram,tude,ize,age,NA_VN_NV,NA,VN,NV,0.089850069
21,winnipemist,winnipem,ist,,,NN_VN_NV,NN,,,0.113625629
234,winnipemize,winnipem,ize,,,VN_NV_NN,VN,,,0.183391484
187,sabamenceize,sabam,ence,ize,,NA_VN_NV,NA,VN,,0.502552948
450,winnipement,winnipem,ent,,,AV_NA_AN,AV,,,0.352491521
483,winnipemure,winnipem,ure,,,NV_NN_VN,NV,,,0.348989117
230,bramizeitetude,bram,ize,ite,tude,VN_AV_NA,VN,AV,NA,0.160276547
249,winnipemize,winnipem,ize,,,VN_NV_NN,VN,,,0.390965864
587,bramureizeent,bram,ure,ize,ent,NV_VN_AV,NV,VN,AV,0.296972117
286,sabamicence,sabam,ic,ence,,AN_NA_NN,AN,NA,,0.264581126
364,sabamictude,sabam,ic,tude,,AN_NA_AN,AN,NA,,0.899646365
178,sabamtudeize,sabam,tude,ize,,NA_VN_AV,NA,VN,,0.828838097
610,sabamageize,sabam,age,ize,,NV_VN_NV,NV,VN,,0.850915336
671,bramoralence,bram,or,al,ence,NV_AN_NA,NV,AN,NA,0.808695508
446,bramentenceful,bram,ent,ence,ful,AV_NA_AN,AV,NA,AN,0.361701763
427,sabamitetude,sabam,ite,tude,,AV_NA_NN,AV,NA,,0.819414339
8,bramadeizeent,bram,ade,ize,ent,NN_VN_AV,NN,VN,AV,0.159062436
372,winnipemful,winnipem,ful,,,AN_NA_AN,AN,,,0.930122478
5,bramistizeite,bram,ist,ize,ite,NN_VN_AV,NN,VN,AV,0.795079685
449,bramentenceal,bram,ent,ence,al,AV_NA_AN,AV,NA,AN,0.500571117
622,sabamureic,sabam,ure,ic,,NV_AN_NA,NV,AN,,0.336047789
86,bramryictude,bram,ry,ic,tude,NN_AN_NA,NN,AN,NA,0.759645035
319,sabamfultude,sabam,ful,tude,,AN_NA_NN,AN,NA,,0.115123778
576,winnipemor,winnipem,or,,,NV_NN_AN,NV,,,0.46881082
259,sabamizeure,sabam,ize,ure,,VN_NV_AN,VN,NV,,0.51897683
237,winnipemize,winnipem,ize,,,VN_NV_NN,VN,,,0.12113779
246,winnipemize,winnipem,ize,,,VN_NV_NN,VN,,,0.182149752
379,sabamfultude,sabam,ful,tude,,AN_NA_AN,AN,NA,,0.810775291
581,bramorryful,bram,or,ry,ful,NV_NN_AN,NV,NN,AN,0.588262407
420,winnipemite,winnipem,ite,,,AV_NA_NN,AV,,,0.903170562
361,sabamicence,sabam,ic,ence,,AN_NA_AN,AN,NA,,0.246532414
155,bramtudeadeic,bram,tude,ade,ic,NA_NN_AN,NA,NN,AN,0.187333459
15,winnipemry,winnipem,ry,,,NN_VN_AV,NN,,,0.576245987
459,winnipemite,winnipem,ite,,,AV_NA_AN,AV,,,0.828172685
349,sabamfultude,sabam,ful,tude,,AN_NA_VN,AN,NA,,0.261845101
220,sabamizeent,sabam,ize,ent,,VN_AV_NA,VN,AV,,0.063757663
358,sabamicence,sabam,ic,ence,,AN_NA_AN,AN,NA,,0.861698753
395,bramentenceist,bram,ent,ence,ist,AV_NA_NN,AV,NA,NN,0.532728642
502,sabamorry,sabam,or,ry,,NV_NN_VN,NV,NN,,0.237027696
264,winnipemize,winnipem,ize,,,VN_NV_AN,VN,,,0.688364663
209,bramencealtude,bram,ence,al,tude,NA_AN_NA,NA,AN,NA,0.40073132
539,bramageistal,bram,age,ist,al,NV_NN_AN,NV,NN,AN,0.394570023
553,sabamagery,sabam,age,ry,,NV_NN_AN,NV,NN,,0.755823742
92,bramryfultude,bram,ry,ful,tude,NN_AN_NA,NN,AN,NA,0.743919321
637,sabamureal,sabam,ure,al,,NV_AN_NA,NV,AN,,0.912732331
373,sabamfulence,sabam,ful,ence,,AN_NA_AN,AN,NA,,0.08732034
551,bramageryic,bram,age,ry,ic,NV_NN_AN,NV,NN,AN,0.866940041
315,winnipemful,winnipem,ful,,,AN_NA_NN,AN,,,0.596420835
381,winnipemal,winnipem,al,,,AN_NA_AN,AN,,,0.512376801
346,sabamfulence,sabam,ful,ence,,AN_NA_VN,AN,NA,,0.639083243
327,winnipemal,winnipem,al,,,AN_NA_NN,AN,,,0.003770855
150,winnipemtude,winnipem,tude,,,NA_NN_AN,NA,,,0.517166629
563,bramoristful,bram,or,ist,ful,NV_NN_AN,NV,NN,AN,0.545656061
558,winnipemor,winnipem,or,,,NV_NN_AN,NV,,,0.924456006
460,sabamiteence,sabam,ite,ence,,AV_NA_AN,AV,NA,,0.99696535
578,bramorryic,bram,or,ry,ic,NV_NN_AN,NV,NN,AN,0.014739784
532,sabamageist,sabam,age,ist,,NV_NN_AN,NV,NN,,0.941720668
108,winnipemtude,winnipem,tude,,,NA_NN_VN,NA,,,0.803341845
627,winnipemure,winnipem,ure,,,NV_AN_NA,NV,,,0.711202022
444,winnipement,winnipem,ent,,,AV_NA_AN,AV,,,0.294437203
17,bramryizeite,bram,ry,ize,ite,NN_VN_AV,NN,VN,AV,0.294798995
467,bramiteenceal,bram,ite,ence,al,AV_NA_AN,AV,NA,AN,0.782193276
67,sabamadeic,sabam,ade,ic,,NN_AN_NA,NN,AN,,0.0200119
164,bramtuderyic,bram,tude,ry,ic,NA_NN_AN,NA,NN,AN,0.234026663
290,bramicenceade,bram,ic,ence,ade,AN_NA_NN,AN,NA,NN,0.193397372
469,sabamitetude,sabam,ite,tude,,AV_NA_AN,AV,NA,,0.862920649
457,sabamenttude,sabam,ent,tude,,AV_NA_AN,AV,NA,,0.486437343
77,bramadealence,bram,ade,al,ence,NN_AN_NA,NN,AN,NA,0.80608494
374,bramfulenceal,bram,ful,ence,al,AN_NA_AN,AN,NA,AN,0.561985526
513,winnipemure,winnipem,ure,,,NV_NN_AN,NV,,,0.250264751
632,bramurefultude,bram,ure,ful,tude,NV_AN_NA,NV,AN,NA,0.222530076
541,sabamageade,sabam,age,ade,,NV_NN_AN,NV,NN,,0.925356127
104,bramenceadeize,bram,ence,ade,ize,NA_NN_VN,NA,NN,VN,0.484972066
48,winnipemist,winnipem,ist,,,NN_AN_NA,NN,,,0.147326935
329,bramalencery,bram,al,ence,ry,AN_NA_NN,AN,NA,NN,0.897703347
233,bramizeureist,bram,ize,ure,ist,VN_NV_NN,VN,NV,NN,0.931183555
275,bramizeageal,bram,ize,age,al,VN_NV_AN,VN,NV,AN,0.581710643
464,bramiteenceful,bram,ite,ence,ful,AV_NA_AN,AV,NA,AN,0.848173416
